Taille de Matrice,Temps 1 Jetson,Temps 2 Jetson,Temps 3 Jetson,Temps 4 Jetson,Temps 5 Jetson,Temps 6 Jetson,Temps CPU matrice transposée
147,0.026000,0.031000,0.037000,0.044000,0.052000,0.057000,0.011000
148,0.026000,0.031000,0.038000,0.044000,0.052000,0.057000,0.011000
149,0.027000,0.032000,0.038000,0.045000,0.052000,0.057000,0.012000
150,0.027000,0.031000,0.039000,0.045000,0.052000,0.061000,0.011000
151,0.027000,0.032000,0.039000,0.047000,0.052000,0.061000,0.012000
152,0.027000,0.032000,0.040000,0.047000,0.054000,0.060000,0.012000
153,0.028000,0.032000,0.040000,0.047000,0.053000,0.060000,0.015000
154,0.028000,0.034000,0.041000,0.046000,0.054000,0.063000,0.012000
155,0.029000,0.033000,0.041000,0.047000,0.054000,0.063000,0.013000
156,0.028000,0.034000,0.042000,0.049000,0.055000,0.063000,0.013000
157,0.029000,0.034000,0.043000,0.050000,0.056000,0.063000,0.013000
158,0.030000,0.035000,0.041000,0.049000,0.056000,0.064000,0.013000
159,0.029000,0.035000,0.042000,0.050000,0.057000,0.066000,0.013000
160,0.030000,0.035000,0.042000,0.050000,0.058000,0.067000,0.019000
161,0.039000,0.036000,0.043000,0.050000,0.059000,0.067000,0.026000
162,0.031000,0.036000,0.044000,0.051000,0.060000,0.067000,0.015000
163,0.030000,0.037000,0.044000,0.052000,0.060000,0.069000,0.014000
164,0.032000,0.037000,0.045000,0.053000,0.060000,0.070000,0.015000
165,0.032000,0.038000,0.046000,0.054000,0.061000,0.070000,0.015000
166,0.032000,0.038000,0.046000,0.055000,0.062000,0.070000,0.016000
167,0.031000,0.039000,0.046000,0.056000,0.064000,0.071000,0.015000
168,0.033000,0.039000,0.047000,0.055000,0.062000,0.072000,0.016000
169,0.049000,0.039000,0.048000,0.057000,0.065000,0.073000,0.016000
170,0.033000,0.040000,0.048000,0.056000,0.065000,0.073000,0.016000
171,0.033000,0.041000,0.049000,0.057000,0.065000,0.076000,0.017000
172,0.034000,0.041000,0.049000,0.058000,0.067000,0.076000,0.018000
173,0.034000,0.041000,0.050000,0.059000,0.068000,0.077000,0.017000
174,0.034000,0.041000,0.050000,0.059000,0.070000,0.077000,0.018000
175,0.034000,0.042000,0.051000,0.063000,0.069000,0.078000,0.019000
176,0.035000,0.043000,0.051000,0.062000,0.070000,0.079000,0.018000
177,0.036000,0.043000,0.052000,0.061000,0.069000,0.080000,0.018000
178,0.037000,0.043000,0.052000,0.065000,0.071000,0.081000,0.019000
179,0.036000,0.044000,0.052000,0.064000,0.071000,0.084000,0.020000
180,0.036000,0.045000,0.054000,0.064000,0.074000,0.083000,0.019000
181,0.038000,0.047000,0.054000,0.063000,0.075000,0.085000,0.020000
182,0.038000,0.045000,0.054000,0.062000,0.074000,0.084000,0.020000
183,0.038000,0.046000,0.055000,0.066000,0.074000,0.085000,0.020000
184,0.039000,0.048000,0.056000,0.067000,0.075000,0.087000,0.021000
185,0.039000,0.048000,0.059000,0.065000,0.075000,0.087000,0.021000
186,0.039000,0.047000,0.058000,0.067000,0.076000,0.090000,0.023000
187,0.040000,0.050000,0.058000,0.070000,0.080000,0.091000,0.022000
188,0.040000,0.050000,0.060000,0.072000,0.079000,0.091000,0.023000
189,0.041000,0.051000,0.058000,0.071000,0.078000,0.091000,0.024000
190,0.041000,0.050000,0.059000,0.074000,0.079000,0.093000,0.023000
191,0.041000,0.052000,0.060000,0.071000,0.082000,0.095000,0.024000
192,0.042000,0.048000,0.061000,0.069000,0.083000,1.021000,0.024000
193,0.042000,0.053000,0.063000,0.075000,0.085000,0.095000,0.024000
194,0.042000,0.051000,0.064000,0.077000,0.083000,0.096000,0.024000
195,0.044000,0.052000,0.066000,0.077000,0.088000,1.035000,0.025000
196,0.042000,0.052000,0.065000,0.077000,0.087000,0.101000,0.025000
197,0.044000,0.054000,0.064000,0.078000,0.088000,0.109000,0.026000
198,0.044000,0.054000,0.065000,0.077000,0.085000,0.100000,0.027000
199,0.044000,0.054000,0.066000,0.078000,0.087000,0.103000,0.026000
200,0.045000,0.052000,0.069000,0.080000,0.088000,0.105000,0.027000
201,0.045000,0.055000,0.068000,0.079000,0.088000,0.103000,0.028000
202,0.046000,0.056000,0.068000,0.082000,0.092000,0.105000,0.029000
203,0.046000,0.056000,0.069000,0.083000,0.095000,0.105000,0.027000
204,0.046000,0.057000,0.071000,0.084000,0.092000,0.107000,0.028000
205,0.047000,0.058000,0.071000,0.085000,0.097000,0.107000,0.029000
206,0.048000,0.058000,0.068000,0.085000,0.096000,0.115000,0.029000
207,0.048000,0.058000,0.072000,0.086000,0.095000,0.108000,0.030000
208,0.048000,0.059000,0.074000,0.085000,0.101000,0.114000,0.030000
209,0.049000,0.060000,0.074000,0.084000,0.099000,0.117000,0.031000
210,0.049000,0.060000,0.074000,0.090000,0.097000,0.114000,0.030000
211,0.050000,0.061000,0.075000,0.090000,0.101000,0.113000,0.031000
212,0.050000,0.062000,0.072000,0.089000,0.101000,0.115000,0.032000
213,0.051000,0.062000,0.076000,0.091000,0.104000,0.116000,0.032000
214,0.051000,0.063000,0.077000,0.093000,0.105000,0.118000,0.033000
215,0.052000,0.063000,0.078000,0.089000,0.101000,0.117000,0.034000
216,0.051000,0.063000,0.078000,0.090000,0.106000,0.121000,0.035000
217,0.051000,0.064000,0.076000,0.091000,0.109000,0.119000,0.034000
218,0.053000,0.065000,0.079000,0.094000,0.104000,0.122000,0.035000
219,0.053000,0.065000,0.080000,0.096000,0.106000,0.122000,0.036000
220,0.054000,0.067000,0.081000,0.096000,0.107000,0.124000,0.036000
221,0.053000,0.067000,0.083000,0.097000,0.111000,0.131000,0.036000
222,0.054000,0.067000,0.079000,0.095000,0.109000,0.130000,0.037000
223,0.054000,0.063000,0.084000,0.097000,0.113000,0.130000,0.037000
224,0.055000,0.069000,0.085000,0.102000,0.113000,0.134000,0.038000
225,0.056000,0.069000,0.086000,0.101000,0.115000,0.129000,0.039000
226,0.056000,0.070000,0.085000,0.099000,0.113000,1.037000,0.038000
227,0.056000,0.071000,0.087000,0.103000,0.113000,0.135000,0.039000
228,0.057000,0.071000,0.086000,0.106000,0.117000,0.130000,0.039000
229,0.058000,0.072000,0.089000,0.104000,0.114000,0.132000,0.040000
230,0.058000,0.072000,0.091000,0.104000,0.117000,0.133000,0.041000
231,0.058000,0.073000,0.087000,0.106000,0.119000,0.140000,0.041000
232,0.059000,0.073000,0.091000,0.102000,0.123000,0.138000,0.042000
233,0.060000,0.074000,0.089000,0.109000,0.119000,0.136000,0.042000
234,0.059000,0.075000,0.092000,0.108000,0.124000,0.136000,0.042000
235,0.061000,0.075000,0.089000,0.112000,0.125000,0.139000,0.044000
236,0.060000,0.076000,0.094000,0.111000,0.122000,0.142000,0.043000
237,0.062000,0.077000,0.095000,0.113000,0.129000,0.144000,0.046000
238,0.062000,0.077000,0.096000,0.110000,0.128000,0.147000,0.046000
239,0.063000,0.078000,0.096000,0.113000,0.127000,0.143000,0.045000
240,0.063000,0.079000,0.097000,0.107000,0.132000,0.147000,0.046000
241,0.064000,0.078000,0.098000,0.115000,0.126000,0.146000,0.047000
242,0.064000,0.080000,0.095000,0.119000,0.134000,0.151000,0.049000
243,0.065000,0.081000,0.099000,0.116000,0.130000,0.149000,0.048000
244,0.065000,0.080000,0.101000,0.118000,0.129000,0.150000,0.049000
245,0.065000,0.081000,0.098000,0.121000,0.132000,0.156000,0.049000
246,0.066000,0.082000,0.102000,0.122000,0.134000,0.155000,0.049000
247,0.067000,0.084000,0.105000,0.118000,0.134000,0.163000,0.051000
248,0.067000,0.084000,0.103000,0.124000,0.140000,0.155000,0.050000
249,0.068000,0.085000,0.103000,0.121000,0.142000,0.158000,0.052000
250,0.068000,0.085000,0.105000,0.126000,0.142000,0.161000,0.052000
251,0.069000,0.086000,0.104000,0.123000,0.147000,0.168000,0.052000
252,0.069000,0.087000,0.106000,0.128000,0.141000,0.159000,0.057000
253,0.070000,1.059000,0.107000,0.128000,0.142000,0.162000,0.054000
254,0.071000,0.088000,0.109000,0.130000,0.149000,0.164000,0.054000
255,0.071000,0.091000,0.108000,0.125000,0.146000,0.163000,0.055000
256,0.071000,0.087000,0.109000,0.134000,0.151000,0.167000,0.057000
257,0.072000,0.093000,0.111000,0.132000,0.146000,0.165000,0.056000
